tweet,image_url,tweet_link
maen proseka smbil nunggu kelas pagi diksil dikwar,https://pbs.twimg.com/media/GoDRSEaaUAAEWsC?format=jpg&name=small,https://x.com/zahrapepesikan
"ayo turun aksi lagi! jangan biarin ruu tni disahkan. masa milihnya sehari, menjabatnya 5 tahun, yang dikorbankan 1 reformasi. ayo kita perjuangkan lagi apa yang sudah diperjuangkan oleh teman-teman mahasiswa tahun 1998 /unej/",https://pbs.twimg.com/media/GmdPFhGa8AAlP5s?format=jpg&name=900x900,https://x.com/MenfessUnej
"Entah buat nutupin RUU TNI atau bagaimana, tapi berita judol ini cuma bakal meledak di masyarakat seperti kasus Sambo. DPR polisi mana berani usut beginian, anggota dewan yg berani RDP kasus ini depan muka lord Don. Dijamin kalo enggak karirnya mati, nyawanya yg wassalam",https://pbs.twimg.com/media/Gn06oWAbYAAykDU?format=jpg&name=900x900,https://x.com/danangktama
"video yg bikin gw nangis:
i love #dewtee ",,https://x.com/i/communities/1876617903224881320
Mango boy,,https://x.com/Riyangist
"TERNAK MULYONO ITU KALAU GAK MEMFITNAH,NGEHOAX,ADU DOMBA,YA MENGHASUT RAKYAT.

Misalnya :
1.Menuduh Mahasiswa yg demo anti UU TNI itu PKI,demo bayaran,benci TNI.
2.Menyatakan Gus Dur dikudeta Megawati.
3.Mahasiswa tdk mendukung RUU Perampasan Aset
4.Mahasiswa pro koruptor
5.dll",,https://x.com/Megatop99
"Pemerintah dan DPR bukannya sadar tapi makin kehausan KEKUASAAN dgn  Merevisi UU buat menekan Rakyat.

Banyaknya kasus bukannya berbenah, eehh....malah minta nambah kekuasaan!! 

Tolak RUU Kejaksaan, RUU Polri, & RUU TNI.",,https://x.com/elsaday__
"sudah makan opor ya mba ulya jen nya

temennya :
kita oporkan 2025, kita demo RUU TNI #TolakRevisiUUTNI , kita sambit pakai opor ",https://pbs.twimg.com/media/GnbvRVfbsAAntS2?format=jpg&name=small,https://x.com/mynameprada
"My ilmu ‘baca pola’ predicted already back when demo RUU TNI, it will be 20k",https://pbs.twimg.com/media/Gn5Kyhfb0AA1pq2?format=jpg&name=240x240,https://x.com/jametistic
"Sampe kapanpun gue gak akan pernah setuju sama yg namanya RUU TNI. Like, gue yg VOLUNTARILY jdi wni aja ngerasa tersiksa bgt, imagine yg menuhin kursi sipil bukan karena kemampuan sendiri https://x.com/Gyunesian/stat/Gyunesian/status/1907850088480936139…",,https://x.com/dinoarsi
"Bincang antara Dedi Sitorus dengan Rocky Gerung bicara Danantara, RUU TNI, RUU Polri dan demo mahasiswa ",,https://x.com/V3g3L
"Prabowo apa bisa buktikan demo #TolakRUUTNI #TolakRUUPolri kemarin bayaran, lebih-lebih ada intervensi asing? Kalau tidak, presiden berarti menyebarkan hoaks. Bukannya yang bagi-bagi bansos justru demo dukung RUU TNI? Kalau itu banyak buktinya di medsos.",,https://x.com/gusghulam
