tweet,image_url,tweet_link
"Revisi RUU Kejaksaan yang kini disiapkan DPR dikhawatirkan memperkuat impunitas jaksa. Setelah UU TNI, ini langkah lanjutan yang ancam supremasi sipil dan akuntabilitas hukum.
.
Rencana revisi ini disebut beri jaksa wewenang berlebihan, seperti intervensi ranah sipil, tanpa",https://pbs.twimg.com/media/GpmGPKabsAAfXAD?format=jpg&name=900x900,https://x.com/arifin34533
mau pelis,,https://x.com/zahrapepesikan
coba kalo RUU TNI itu isinya penguatan alut sista & peningkatan kesejahteraan prajurit,,https://x.com/arinme1377
"Ijazah palsu, monolog Gibran, jgn sampai mengubur persoalan-persoalan besar negeri ini: Kejahatan kemanusiaan OCI, Danantara, korupsi Pertamina (pada lupa kan?), ruu polri, UU TNI, carut-marut MBG dll. 
@iwanfals
 @NajwaShihab
 @mohmahfudmd
 @Metro_TV",,https://x.com/b_rizki87891
Kenapa aparat keamanan terutama tni di naikkan bahkan muncul ruu tni. Karena tni adalah paling mudah disandra mereka yang mengamankan hal hal besar terutama tambang. Dengan tersandranya tni keluarga cendana akan mudah mengusai hak hak yang mereka serakahi. Mereka tersandra,,https://x.com/RahmatN04253749
makan enak dan kenyang (di kosan jarang makan enak kalo milih enak kayak sushi ga akan kenyang),,https://x.com/reboisaprut
"Ya mungkin karena momen dan waktunya aja yg berdekatan dengan disahkannya RUU TNI, 
Sedangkan untuk orang awam berpikirnya ngapain sih TNI ikut ngajar di kampus sedangkan orang sipil yg kompeten masih banyak banget, itu poin menurut saya",,https://x.com/santrihengky
tlong hapus ruu tni,,https://x.com/deffallkind
ONE PIECE CROSSOVER THAT WILL HAVE TRAFALGAR LAW PSLSPSLSPSLSPLS,https://pbs.twimg.com/media/GplzYu0X0AAVhpp?format=jpg&name=small,https://x.com/zahrapepesikan
"RUU TNI uda jadi kah?
Knp TNI suara nya kuat sekali skrg",,https://x.com/JeslianLee
"Pascapengesahan revisi UU TNI pada 17 Maret 2025 dan penandatanganannya oleh Presiden sebelum Idul Fitri, dinamika legislasi nasional memasuki babak baru. Di tengah sorotan publik, Wakil Ketua DPR juga mengumumkan prioritas pembahasan delapan RUU pada masa sidang III tahun",https://pbs.twimg.com/media/GplvPTKaAAABf_E?format=jpg&name=900x900,https://x.com/lab45_
