tweet,image_url,tweet_link
"Ketika rakyat yg selama ini memberi kalian makan dan kehidupan layak menuntut RUU TNI dibatalkan, malah kalian balas dgn todongan senjata api.
Apa kalian punya rencana utk menghabisi massa yg menolak RUU TNI??
Kalian sungguh Keji!!!
#CabutRUUTNI
#TolakRUUPolri
#TolakRUUKejaksan",,https://x.com/vita_AVP
"JANGAN PANTANG MENYERAH 

Kami sebagai Warga Negara Indonesia DENGAN TEGAS menolak Revisi Undang-Undang Tentara Nasional Indonesia (RUU TNI)

#TolakRUUTNI
#TolakRevisiUUTNI
#PeringatanDarurat 
#IndonesiaGelap
#TolakDwifungsiABRI",https://pbs.twimg.com/media/Gmep1DxbgAE198c?format=jpg&name=900x900,https://x.com/rahmdess27
"Melihat naskah akademik RUU TNI, terutama di bagian yang saya highlight, itu alasan saya menolak RUU TNI, Bang. 
Itu berarti jumlah prajurit aktif TNI pada kementerian/lembaga lain bisa tak terbatas. 
Itulah Dwifungsi ABRI!

https://google.com/search?q=naskah+akademik+ruu+tni&ie=UTF-8&oe=UTF-8&hl=en-id&client=safari…",https://pbs.twimg.com/media/GmLC7s2a0AAMsm2?format=jpg&name=small,https://x.com/realfedinuril
"KOMPILASI KEBOHONGAN & GASLIGHTING DPR SELAMA PROSES PENGESAHAN RUU TNI. 

Draft RUU TNI sudah dapat diunduh secara resmi di website DPR. Namun itu tidak menghapus dosa dan sifat manipulatif 
@DPR_RI
.

Sebuah Utas",https://pbs.twimg.com/media/Gm46q82bgAAQfg0?format=jpg&name=900x900,https://x.com/Hanif_AF
"Memilih Menteri dan pejabat sekarang bukan soal integritas, tapi seberapa  mahir anda menjilat & gak punya malu. That's all. RUU TNI sudah disahkan, kawal RUU Kejaksaan & RUU lainnya.
--
 IHSG Kapolri 1 USD Indomaret  Dollar UGDarurat

#TolakRUUKejaksaan

https://vt.tiktok.com/ZSrUPQepK/",,https://x.com/_riverheaven
Revisi UU TNI : Langkah Kunci Hadapi Ancaman Strategis Era Modern #RUUTNI,,https://x.com/brfelindra
Alkitab rasa RUU TNI ,https://pbs.twimg.com/media/Goycn1qaEAASAdw?format=jpg&name=900x900,https://x.com/TerapiDMinor
"NETRAL pada ketidakadilan adalah tindakan pengecut dan memihak pada penindasan.Rakyat berhak untuk disejahterakan. Tolak semua RUU TNI, POLRI, KEJAKSAAN & KUHAP
--
Totoro Jokowi Piala Asia-U17 Unistal Liga Champions BalesINTAN",,https://x.com/_riverheaven
"Kepada Bapak-Ibu DPR RI. Jika hari ini sudah mengesahkan RUU TNI, dan bersikukuh “tidak ada dwifungsi”. Demi keselamatan kami sebagai rakyat, boleh dong kami meminta negara ini turut meratifikasi STATUTA ROMA? 

#TolakRUUTNI 
#TolakRevisiUUTNI 
#IndonesiaGelap
#PeringatanDarurat",https://pbs.twimg.com/media/GmdPizUa8AMMrpp?format=jpg&name=medium,https://x.com/Cindrugrella
"Selain ada kuliah umum, ternyata ada sesi membaca tarot 

Kita baca tarot soalnya kita nggak dikasih akses buat baca draft RUU TNI nih, hehe 

#CabutUUTNI 
#SupremasiSipil",https://pbs.twimg.com/media/Gok66ygWYAECZ9b?format=jpg&name=small,https://x.com/barengwarga
" SERUAN #TolakRUUTNI 

Waktu kita hanya tersisa 24 jam.

RUU ini bukan cuma soal TNI dapat jabatan sipil. Ini soal militer makin leluasa ngurus ekonomi, pemerintahan, bahkan kehidupan kita. Jangan kaget kalau besok lagu K-Pop & musik Barat dibredel karena “gak Pancasilais.”",https://pbs.twimg.com/media/GmYyRPxa8AAdU1P?format=jpg&name=medium,https://x.com/barengwarga
mff yh je,https://pbs.twimg.com/media/Go5usQnaEAAtGtL?format=jpg&name=large,https://x.com/leftoverciggs
"Penguasa dan politisi ""kongkalikong"" memilih bulan Ramadhan utk mengesahkan RUU TNI yg prosesnya cacat dan kontroversial, dengan harapan publik akan cenderung pasif, namun justru yg terjadi sebaliknya.

Pengesahan ""kebut semalam"" RUU TNI, memantik resistensi keras dari masyarakat",https://pbs.twimg.com/media/Gmzu_g4aoAAXO7l?format=jpg&name=900x900,https://x.com/__AnakKolong
