tweet,image_url,tweet_link
Sok iye SJW anak termasuk anak setan wkwkwk,,https://x.com/i/communities/1562271278744354816
@BudiBukanIntel,,https://x.com/blxccat
"RUU KUHAP Bisa Hapus Hak Warga! Jauh Lebih Gawat dari RUU TNI & POLRI? https://youtu.be/el9d-mfuVQk?si=JtgD5fUfAlOPqyWZ… via 
@YouTube
 
#ruukuhap #kuhap #ruutni #ruupolri #MataNajwa #narasi",,https://x.com/taupolitikcom
"Negara aja gue bela (ikut penolakan RUU TNI kemarin) 
Apalagi idol",,https://x.com/BlinK_Tiez_JA_
"Gak ada jurit malam, cm 2 malem nginep di Secaba rasanya pening total krn kamar mandinya gk bgt &banyak jentik plus lumut

Cukup bikin sadar kl timbang bikin RUU TNI yg memakmurkan bintang-bintang, better u sejahterahin prajurit bawah trs perbaiki fasilitas pelatihan, ngeri DBD.",,https://x.com/centragl
Yakin bgt ini ngetwit biar gua rep,,https://x.com/winnnathepooh
"Widih comeback lu bro, seperbadanan ini mane aje",,https://x.com/winnnathepooh
"Sekedar mengingatkan, kunjungannya terjadi pada hari yg sama mahasiswa dari kampus"" lain mengadakan aksi menolak RUU TNI ",,https://x.com/0tsutsukiM0n
"ya gimana ya dipukul rata ideologi sama agama, muslimah bebas milih mau jadi feminis apa ngga",,https://x.com/blxccat
oke siap ,,https://x.com/zahrapepesikan
"""RUU TNI Demi Kemajuan NKRI"" ",,https://x.com/rawaheel974756
"""RUU TNI Demi Kemajuan NKRI"" ",,https://x.com/rawaheel974756
berarti sebenernya mah gampang kah kak ,,https://x.com/zahrapepesikan
ini efek gegara ruu tni disahkan,,https://x.com/cordialementt
"""lo ga tau ga""",,https://x.com/blxccat
lantas salahnya apa? itu kebebasan orang lain menentukan hidupnya,,https://x.com/blxccat
"coba kalo diskusi itu belajar kalo org yg sedang menyampaikan kritik atau pandangan bukan musuh, balas dengan pemikiran bukan menunjuk-nunjuk dan insulting doang.",,https://x.com/blxccat
Hi Mr. Bule why did u decide to live here /genq,,https://x.com/terhinakeren
padahal pernyataan gue ga ada sekalipun insulting agama malah gue mengedepankan agama dan menyatakan agama valid krn bisa diaplikasikan thd kehidupan termasuk BEBERAPA kasus dalam paham aliran politik. susah sama orang yg hidupnya gampang labeling orang,,https://x.com/blxccat
What??? I’m so sorry ,,https://x.com/terhinakeren
"ya gitu kalo dikasih pandangan lain dia ngajak orang buat menertawakan sesuatu yang ga sejalan sama dia, being louder doesn't make u look smarter anyway. coba lu baca pelan-pelan. hidup itu ga cuman gue dan saudara muslim, tp termasuk non muslim",,https://x.com/blxccat
This is so cute can I turn this into a widget???,,https://x.com/terhinakeren
oh!!,,https://x.com/terhinakeren
