tweet,image_url,tweet_link
Instan? Oh kaya pembentukan RUU TNI maksudnya?,,https://x.com/Nazarrrr29
"setelah ruu tni disahkan, gak ada lagi partai yg bisa dipercaya, mungkin nyuruh wowo balik ke Yordan biar Indo tenang kembali",,https://x.com/nasaktion2
"Itu bukti klo yg demo RUU TNI bukan org bayaran, masa pake Tory Burch dibayar 50rb ",,https://x.com/Susmitha_Canny
"siapa yang bayar? 

Setau gue justru demo dukung RUU TNI yg dibayar terang2an. Ttd dapat sembako ",,https://x.com/iswara_gandi
"Gatau pak, coba tanya sama yang megang banner dukung ruu tni, katanya mereka dapet 50k pak",,https://x.com/cinnabollol
"semuanya berkaitan gt yh, tmn gw yg main judol itu juga all in 2 betul, pro ruu tni juga, mantab lah",,https://x.com/nottrashacc
"Terkesan menghindari sih, konflik RUU TNI kan lebih dari itu dan orang² juga gk demo karena perpanjangan jabatannya lebih ke prosesnya yang tidak transparan dan ketidak berpihakan terhadap sipil",,https://x.com/salmon4fish
Udah pernah nyoba and it was amazing ,,https://x.com/roticoklats
"Konteksnya ngomongin demo RUU TNI, kan? Kasih tau, dong, mana demo tolak RUU TNI yang dibiayai orang2 yang berkepentingan, di mana lokasi titik kumpulnya, tanggal berapa, dan siapa yang menunggangi/membiayainya. Beserta bukti, ya.",,https://x.com/sayaataugueaja
Jangan salahin polisi. Salahin aja yg bukun ruu tni. Siapa kalo bukan puan kontol. Ya begini rasanya kalo cucu presiden ekekek,,https://x.com/fadli_fir35558
"Wkwkwkkw, diskusi apa??? Itu cuma ajang verifikasi penjahat HAM Itu mengidap Megalomaniac, emg jawaban dia ada yg nyambung??? Malah banyak yg cuma pengulangan dari buzzer, contoh waktu dia blg draft RUU TNI yg berdebar Hoax, PERSIS yg didengungkan buzzer2 laknat",,https://x.com/teukuhirzi
oh dayum,,https://x.com/zahrapepesikan
"anjir.. jam segini??? hati"" kak ",,https://x.com/zahrapepesikan
"Sama nder, aku income pasif dari kost dan itu dibayar per tahun, jadi uangku flat segitu-segitu aja selama 12 bulan, sementara semuanya naik harganya. Bingung banget, takut uangku ga cukup sampe september ",,https://x.com/roticoklats
"Konteksnya ngomongin demo RUU TNI, kan? Kasih tau, dong, mana demo tolak RUU TNI yang dibiayai orang2 yang berkepentingan, di mana lokasi titik kumpulnya, tanggal berapa, dan siapa yang menunggangi/membiayainya. Beserta bukti, ya.",,https://x.com/sayaataugueaja
Jangan salahin polisi. Salahin aja yg bukun ruu tni. Siapa kalo bukan puan kontol. Ya begini rasanya kalo cucu presiden ekekek,,https://x.com/fadli_fir35558
"Wkwkwkkw, diskusi apa??? Itu cuma ajang verifikasi penjahat HAM Itu mengidap Megalomaniac, emg jawaban dia ada yg nyambung??? Malah banyak yg cuma pengulangan dari buzzer, contoh waktu dia blg draft RUU TNI yg berdebar Hoax, PERSIS yg didengungkan buzzer2 laknat",,https://x.com/teukuhirzi
oh dayum,,https://x.com/zahrapepesikan
"anjir.. jam segini??? hati"" kak ",,https://x.com/zahrapepesikan
"Sama nder, aku income pasif dari kost dan itu dibayar per tahun, jadi uangku flat segitu-segitu aja selama 12 bulan, sementara semuanya naik harganya. Bingung banget, takut uangku ga cukup sampe september ",,https://x.com/roticoklats
"call me evil or whatever, ngurus bocah autis yg gampang tantrum, final boss picky eater dan masih belum bisa ngomong padahal udh 6 thn tuh mentally draining sama anger inducing banget.. lagian ngapain sih masi berurusan sama perek satu ini dan anaknya?",,https://x.com/zahrapepesikan
"girl fuck you, gua tadi disuruhnya gua makan rawon yauda gua makan rawon pdhl gua mau makan bebek. skrg gua lagi makan rawon lu suruh gua makan bebek???????",,https://x.com/zahrapepesikan
"Gimiknya terlalu pinggir jurang. Bawa2 SSK, Bawa2 bapak gendis tiba2 nyebut jendral disaat RUU tni lagi sensitif.",,https://x.com/GilboOshi
"Presiden Prabowo berbincang selama 3,5 jam dan menjawab berbagai pertanyaan dari para jurnalis, di antaranya UU TNI, RUU Polri, IHSG, hingga pemberlakuan tarif dagang baru dari AS, dll.  Para Jurnalis itu di antaranya Channel Narasi, Najwa Shihab,",,https://x.com/mafazanews
"[FULL] Presiden Prabowo Menjawab Kontroversi dari RUU TNI hingga Tarif Dagang Trump

Presiden Prabowo Subianto melakukan wawancara dengan enam jurnalis di kediamannya di Hambalang, Jawa Barat, Ahad (6/4/2025). Dimoderatori Valerina Daniel dari TVRI,",,https://x.com/mafazanews
"rakyatnya masih memikirkan perut masing²,klo kepentinganya ga terusik bakalan diem
contoh:
ruu tni yg demo mahasiswa,yg sewot pengguna jalan,pasti bilang duh bikin macet,mana anarkis lagi
tapi klo bbm mahal kompak semua demo,karna awmua sektor berimbas",,https://x.com/udin_portal69
"Saya pikir pak presiden ini tau arah dari pertanyaan mba nana, tp dia berusaha defensive karena pergerakannya melalui RUU TNI/POLRI mulai kebaca",,https://x.com/dalitderinos
